,date,comment
0,"March 13, 2023",It wasn’t like the one in the picture but I’m still satisfied tho
1,"October 21, 2022",This is fine it's their website that sucks.
2,"August 27, 2022",Very good battery but the product I used was trainwreak with that battery 10/10..
3,"May 30, 2022",Badass battery. Go Biiig or go home!
4,"November 29, 2021",Fix your website. It said to drop by between 9 and 10 and you were closed. Total BS.
5,"June 22, 2021",this battery hits hard if you are looking for a good dab pen
6,"March 13, 2021",Nice big clouds. Long lasting battery. Just what you need my high tolerance friends
7,"March 11, 2021",Easy use
8,"January 3, 2021",Love it
9,"December 16, 2020","Battery lasts about 3 days and so easy to take it on the go, also very small for pockets"
10,"November 25, 2020",Love the big stiiizy! It charges quickly and has a long battery life. The pods click in easily and fit very secure. My brother pulled one out to show someone and my 8 year old walked in and asked what it was. I was able to quickly convince her that it was like a Roku or Fire stick type thing with no questions lol so it works out great if you’re needing to be discreet.
11,"September 15, 2020",Works wonders! Gives me pretty good hits compared to a 510 or regular Stiiizy batteries. Would Highly recommend!
12,"June 7, 2020",good battery last long
13,"May 12, 2020",A+
14,"May 11, 2020",Battery size is very compact and discreet. Love the size and shape.
15,"March 28, 2020",It’s sleek and a little more discreet. Packs a good punch. I’ve tried many 510 thread batteries but they would always break or voltage wasn’t strong enough. So I finally gave in to getting A pod type battery. Definitely happy with my purchase.
16,"September 3, 2023",First time buying the Stiiizy brand. Great experience!
17,"July 29, 2023","IMO..They Are Cheap And Taste Nasty I mean leave a bad taste in your throat., Also I Dinno About The Slick Ass Batteris I Cant Seem To Hold On To Them.PSssssT..Batttey does not stay Charged Very Long Either.."
18,"May 22, 2023",Would definitely buy again 👍🏼
19,"March 31, 2023",It is a very piney gassy pod! I like that even tho it’s a indica strain it doesn’t make you sleepy to the extent of being stuck. You can definitely shop and hit this pod
20,"November 22, 2022",I loved dosi. Best flavor.
21,"November 9, 2022","Do-si-dos has been my favorite stizzy carts for a long time. It's best after work before dinner - I relax, I get hungry, and I sleep well."
22,"October 31, 2022","I remember this feeling like a traditional hybrid and didn't notice the indica too much.

The experience will vary, person to person but for those that prefer indica... this may not be the best option. This is probably good for social stuff."
23,"May 14, 2022",Second time I’ve bought the dosidos and does not work…
24,"April 5, 2022",I enjoy this strain very much
